	chr1	s1	e1	chr2	s2	e2	Interaction_score	Annotation_1	Detailed_Annotation_1	Distance_to_TSS_1	Nearest_PromoterID_1	Entrez_ID_1	Nearest_Unigene_1	Nearest_Refseq_1	Nearest_Ensembl_1	Gene_Name_1	Gene_Alias_1	Gene_Description_1	Gene_Type_1	Annotation_2	Detailed_Annotation_2	Distance_to_TSS_2	Nearest_PromoterID_2	Entrez_ID_2	Nearest_Unigene_2	Nearest_Refseq_2	Nearest_Ensembl_2	Gene_Name_2	Gene_Alias_2	Gene_Description_2	Gene_Type_2	TSS_1	TSS_2
1	chr19	4100000	4150000	chr19	4150000	4200000		promoter-TSS (NM_001078649)	promoter-TSS (NM_001078649)	858	NM_016666	11632.0	Mm.10433	NM_016666	ENSMUSG00000024847	Aip	AA408703|AW476050|Ara9|D19Bwg1412e|Fkbp16|Xap2	aryl-hydrocarbon receptor-interacting protein	protein-coding	intron (NM_134148, intron 2 of 9)	intron (NM_134148, intron 2 of 9)	479	NM_134148	107239.0	Mm.482310	NM_134148	ENSMUSG00000075289	Carns1	AI790298|Atpgd1|mKIAA1394	carnosine synthase 1	protein-coding	0.0	0.0
2	chr19	4700000	4750000	chr19	6500000	6550000		intron (NM_021287, intron 4 of 36)	B3|SINE|B2	13792	NM_021287	20743.0	Mm.329668	NM_021287	ENSMUSG00000067889	Sptbn2	Spnb3	spectrin beta, non-erythrocytic 2	protein-coding	intron (NM_001205235, intron 21 of 21)	MLT1J1-int|LTR|ERVL-MaLR	18070	NM_009203	20521.0	Mm.391146	NM_009203	ENSMUSG00000061742	Slc22a12	AI987855|OAT4L|Rst|Slc22al2|URAT1	solute carrier family 22 (organic anion/cation transporter), member 12	protein-coding	3.0	4.0
3	chr19	5400000	5450000	chr19	6950000	7000000		promoter-TSS (NM_001256515)	promoter-TSS (NM_001256515)	-21	NM_001291080	66556.0	Mm.275446	NM_024176	ENSMUSG00000024914	Drap1	2310074H19Rik|NC2-alpha	Dr1 associated protein 1 (negative cofactor 2 alpha)	protein-coding	promoter-TSS (NM_008889)	promoter-TSS (NM_008889)	-48	NM_008889	18938.0	Mm.140	NM_008889	ENSMUSG00000056612	Ppp1r14b	AOM172|PHI-1|PLCB3N|Png	protein phosphatase 1, regulatory inhibitor subunit 14B	protein-coding	-0.0	-0.0
4	chr19	6900000	6950000	chr19	6950000	7000000		TTS (NM_008431)	TTS (NM_008431)	380	NM_001039494	67077.0	Mm.251306	NM_001039494	ENSMUSG00000050623	Catsperz	1700019N12Rik|A430107B04Rik|MLZ-622|Tex40	cation channel sperm associated auxiliary subunit zeta	protein-coding	promoter-TSS (NM_008889)	promoter-TSS (NM_008889)	-48	NM_008889	18938.0	Mm.140	NM_008889	ENSMUSG00000056612	Ppp1r14b	AOM172|PHI-1|PLCB3N|Png	protein phosphatase 1, regulatory inhibitor subunit 14B	protein-coding	0.0	-0.0
5	chr19	6900000	6950000	chr19	8800000	8850000		TTS (NM_008431)	TTS (NM_008431)	380	NM_001039494	67077.0	Mm.251306	NM_001039494	ENSMUSG00000050623	Catsperz	1700019N12Rik|A430107B04Rik|MLZ-622|Tex40	cation channel sperm associated auxiliary subunit zeta	protein-coding	exon (NM_001081196, exon 7 of 14)	exon (NM_001081196, exon 7 of 14)	5599	NM_001081196	68693.0	Mm.476519	NM_001081196	ENSMUSG00000071659	Hnrnpul2	1110031M08Rik|AI465155|Hnrpul2	heterogeneous nuclear ribonucleoprotein U-like 2	protein-coding	0.0	1.0
6	chr19	7950000	8000000	chr19	8250000	8300000		Intergenic	L1VL2|LINE|L1	-8973	NM_134256	171405.0	Mm.326517	NM_134256	ENSMUSG00000067656	Slc22a27	OAT6-L|OAT6-S|Oat9	solute carrier family 22, member 27	protein-coding	Intergenic	Intergenic	-56100	NM_001347426	236293.0	Mm.440581	NM_172776	ENSMUSG00000075044	Slc22a29	D630002G06Rik	solute carrier family 22. member 29	protein-coding	-2.0	-11.0
7	chr19	8550000	8600000	chr19	9900000	9950000		Intergenic	B3|SINE|B2	-16254	NM_031194	19879.0	Mm.285294	NM_031194	ENSMUSG00000063796	Slc22a8	Oat3|Roct	solute carrier family 22 (organic anion transporter), member 8	protein-coding	Intergenic	Intergenic	-25511	NM_001369356	16319.0	Mm.29755	NM_016692	ENSMUSG00000024660	Incenp	2700067E22Rik|AU019509|C130081E20|C77457	inner centromere protein	protein-coding	-3.0	-5.0
8	chr19	9250000	9300000	chr19	9650000	9700000		Intergenic	IAPEY3-int|LTR|ERVK	-139434	NM_025610	66514.0	Mm.272847	NM_025610	ENSMUSG00000024654	Asrgl1	2410004D18Rik|ALP|ALP1|AU040643|AW060375	asparaginase like 1	protein-coding	Intergenic	ETnERV3-int|LTR|ERVK	-115752	NR_073559	619371.0	Mm.316894	NM_001030317		Stxbp3-ps	Munc18c(L)|Stxbp3-1|Stxbp3b	syntaxin-binding protein 3, pseudogene	pseudo	-28.0	-23.0
9	chr19	10600000	10650000	chr19	11950000	12000000		intron (NM_015735, intron 19 of 26)	intron (NM_015735, intron 19 of 26)	-9233	NR_153778	71768.0	Mm.169261	NM_027913	ENSMUSG00000043789	Vwce	1300015B04Rik	von Willebrand factor C and EGF domains	protein-coding	intron (NM_001033174, intron 3 of 13)	intron (NM_001033174, intron 3 of 13)	9156	NM_001033174	76303.0	Mm.291279	NM_001033174	ENSMUSG00000024687	Osbp	1110018F06Rik|AW559088|mKIAA4220	oxysterol binding protein	protein-coding	-2.0	2.0
10	chr19	10650000	10700000	chr19	10950000	11000000		intron (NM_021453, intron 3 of 8)	intron (NM_021453, intron 3 of 8)	3071	NM_021453	58803.0	Mm.34037	NM_021453	ENSMUSG00000024738	Pga5	1110035E17Rik|Pepf	pepsinogen 5, group I	protein-coding	promoter-TSS (NM_023529)	promoter-TSS (NM_023529)	-330	NM_023529	69826.0	Mm.273404	NM_023529	ENSMUSG00000024731	Ms4a10	2010001N17Rik	membrane-spanning 4-domains, subfamily A, member 10	protein-coding	1.0	-0.0
