Chr	Start	End	Peak_score	Distance_to_TSS	EntrezID	Refseq	Ensembl	Gene	Peak_type	Peak_bin_distance	Peak_bin	Annotation_method	Interaction_score	Promoter_bin	TSS_bin_distance
chr9	58247055	58247559	0.0	2479	18854.0	NM_008884	ENSMUSG00000036986	Pml	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr9	58226253	58226752	0.0	5353	102466639.0	NR_105806	ENSMUSG00000098886	Mir6385	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr9	58220594	58221037	190.99	-334	102466639.0	NR_105806	ENSMUSG00000098886	Mir6385	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr9	58204087	58205173	0.0	-311	320563.0	NM_177193	ENSMUSG00000051243	Islr2	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr5	112870833	112871431	187.008	25230	12961.0	NM_007773	ENSMUSG00000042240	Crybb2	Distal	-3867.5	-1.0	Interaction_anno	nan	-1.0	-4883.0
chr4	121040895	121041471	0.0	1617	12840.0	NM_007741	ENSMUSG00000028626	Col9a2	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr9	58038477	58038919	0.0	6424	330951.0	NM_001243265	nan	Gm16130	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr4	121031557	121031956	106.599	-7809	12840.0	NM_007741	ENSMUSG00000028626	Col9a2	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr5	112335585	112336091	211.306	7202	22022.0, 70118.0	NM_009419, NM_027323	ENSMUSG00000029344, ENSMUSG00000029346	Tpst2, Srrd	Proximal, Proximal	10838.5, nan	2.0, nan	Interaction_anno, Proximal_anno	nan, nan	-0.0, nan	-1745.0, nan
chr9	57998268	57998996	277.19	608	13070.0	NM_019779	ENSMUSG00000032323	Cyp11a1	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr13	117216024	117216689	283.181	-4216	13723.0	NM_010330	ENSMUSG00000021728	Emb	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr5	112276549	112276867	138.487	-37	54723.0, 22022.0	NM_018783, NM_009419	ENSMUSG00000029345, ENSMUSG00000029344	Tfip11, Tpst2	Promoter, Promoter	1708.5, nan	0.0, nan	Interaction_anno, Proximal_anno	nan, nan	-0.0, nan	-1369.0, nan
chr4	121016876	121017542	0.0	38	69780.0	NM_133716	ENSMUSG00000032870	Smap2	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr5	112214387	112215088	0.0	7975	75569.0	NR_045377	ENSMUSG00000101683	1700028D13Rik	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr1	120120964	120121330	75.743	-40	73103.0	NM_028439	ENSMUSG00000026388	3110009E18Rik	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr6	72409565	72410114	0.0	-4468	56316.0	NM_019802	ENSMUSG00000053460	Ggcx	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr5	112210083	112210654	0.0	3606	75569.0	NR_045377	ENSMUSG00000101683	1700028D13Rik	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr2	170520412	170521019	0.0	-8789	100502946.0	NR_040367	ENSMUSG00000085495	Gm16796	Proximal	nan	nan	Proximal_anno	nan	nan	nan
