PeakID (cmd=annotatePeaks.pl PLACseq_anchor1.bed mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
1154	chr14	67750001	67800000	+	0	NA	intron (NM_177780, intron 39 of 51)	ID_B1|SINE|B4	29819	NR_133010	14714	Mm.358309	NM_008145	ENSMUSG00000015812	Gnrh1	Gnrh|Gnrh2|LHRH|Lhrh1|Lnrh|hpg	gonadotropin releasing hormone 1	protein-coding
437	chr16	30550001	30600000	+	0	NA	intron (NM_178069, intron 5 of 13)	Lx8|LINE|L1	12589	NM_178069	224092	Mm.567	NM_178069	ENSMUSG00000022538	Lsg1	5830465I20|AA409273|D16Bwg1547e	large 60S subunit nuclear export GTPase 1	protein-coding
295	chr18	38050001	38100000	+	0	NA	Intergenic	Intergenic	-76031	NM_001205336	106952	Mm.247642	NM_139206	ENSMUSG00000024451	Arap3	Centd3|Drag1|E030006K04Rik|cnt-d3	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 3	protein-coding
1125	chr14	36850001	36900000	+	0	NA	TTS (NM_028407)	TTS (NM_028407)	44535	NM_001347503	72972	Mm.27621	NM_027045	ENSMUSG00000058690	Ccser2	1700012P13Rik|2900054P12Rik|AI035535|AW108503|Fam190b|Gcap14	coiled-coil serine rich 2	protein-coding
385	chr15	76700001	76750000	+	0	NA	exon (NM_001168288, exon 12 of 12)	exon (NM_001168288, exon 12 of 12)	-1155	NM_145472	223665	Mm.291713	NM_145472	ENSMUSG00000116138	C030006K11Rik	1110033I13Rik	RIKEN cDNA C030006K11 gene	protein-coding
1730	chr4	19650001	19700000	+	0	NA	5' UTR (NM_001276292, exon 4 of 24)	5' UTR (NM_001276292, exon 4 of 24)	34004	NM_001276292	107568	Mm.78312	NM_177327	ENSMUSG00000041058	Wwp1	8030445B08Rik|AIP5|SDRP1|Tiul1	WW domain containing E3 ubiquitin protein ligase 1	protein-coding
188	chr1	86650001	86700000	+	0	NA	Intergenic	Intergenic	-4427	NM_010933	18159	Mm.12802	NM_010933	ENSMUSG00000026241	Nppc	CNP|lbab	natriuretic peptide type C	protein-coding
1159	chr14	72600001	72650000	+	0	NA	intron (NM_207636, intron 3 of 25)	intron (NM_207636, intron 3 of 25)	85003	NM_207636	319448	Mm.205421	NM_207636	ENSMUSG00000033487	Fndc3a	1700094E19Rik|D14Ertd453e|F730017H24Rik|Fndc3|sys	fibronectin type III domain containing 3A	protein-coding
1354	chr8	117200001	117250000	+	0	NA	Intergenic	RMER5|LTR|ERV1	-32019	NM_001163262	74440	Mm.233181	NM_028941	ENSMUSG00000034390	Cmip	4933407C03Rik|5830471E12Rik|AI314065|AI464126	c-Maf inducing protein	protein-coding
1458	chr10	111500001	111550000	+	0	NA	Intergenic	RMER20C_Mm|LTR|ERVK	18714	NM_009344	21664	Mm.3117	NM_009344	ENSMUSG00000020205	Phlda1	DT1P1B11|TDAG51|Tdag	pleckstrin homology like domain, family A, member 1	protein-coding
102	chr17	72850001	72900000	+	0	NA	Intergenic	Intergenic	36952	NM_001357370	383295	Mm.277533	NM_027166	ENSMUSG00000039770	Ypel5	2310076K21Rik|CGI-127	yippee like 5	protein-coding
62	chr17	25100001	25150000	+	0	NA	exon (NM_026747, exon 3 of 3)	exon (NM_026747, exon 3 of 3)	4240	NM_001163416	68509	Mm.328855	NM_026747	ENSMUSG00000044172	Ptx4	1110018H23Rik	pentraxin 4	protein-coding
17	chr19	20800001	20850000	+	0	NA	intron (NM_028953, intron 12 of 20)	intron (NM_028953, intron 12 of 20)	-97444	NM_011921	26358	Mm.14609	NM_011921	ENSMUSG00000024747	Aldh1a7	AI987940|Ahd2-like|Aldh-pb|Aldh1a4|Aldhpb	aldehyde dehydrogenase family 1, subfamily A7	protein-coding
1612	chr7	8850001	8900000	+	0	NA	Intergenic	Lx2|LINE|L1	-12145	NR_154463	72716	Mm.422732	NR_015598		2810047C21Rik1	100042870|2810047C21Rik|AA683836|Gm4082	RIKEN cDNA 2810047C21 gene 1	ncRNA
1471	chr10	128300001	128350000	+	0	NA	intron (NM_019953, intron 3 of 5)	B2_Mm1a|SINE|B2	2541	NM_019953	56530	Mm.44220	NM_019953	ENSMUSG00000025381	Cnpy2	5330432A10Rik|AW229003|D10Bwg1546e|Tmem4|Zsig9	canopy FGF signaling regulator 2	protein-coding
